rfp_id,product_score,relationship_score,won_flag
RFP-1000,0.56,0.96,1
RFP-1001,0.41,0.25,0
RFP-1002,0.72,0.77,1
RFP-1003,0.43,0.44,0
RFP-1004,0.6,0.43,1
RFP-1005,0.56,0.56,0
RFP-1006,0.44,0.61,0
RFP-1007,0.42,0.25,0
RFP-1008,0.98,0.85,1
RFP-1009,0.61,0.3,0
RFP-1010,0.32,0.93,1
RFP-1011,0.66,0.64,1
RFP-1012,0.98,0.82,1
RFP-1013,0.44,0.24,1
RFP-1014,0.57,0.42,1
RFP-1015,0.68,0.31,0
RFP-1016,0.35,0.99,1
RFP-1017,0.87,0.77,1
RFP-1018,0.84,0.26,0
RFP-1019,0.74,0.46,1
RFP-1020,0.52,0.46,0
RFP-1021,0.63,0.3,0
RFP-1022,0.83,0.65,1
RFP-1023,0.6,0.22,1
RFP-1024,0.32,0.71,0
RFP-1025,0.47,0.53,0
RFP-1026,0.46,0.26,0
RFP-1027,0.87,0.71,0
RFP-1028,0.86,0.35,0
RFP-1029,0.93,0.45,1
RFP-1030,0.46,0.54,1
RFP-1031,0.66,0.53,1
RFP-1032,0.38,0.47,0
RFP-1033,0.79,0.49,0
RFP-1034,0.97,0.4,1
RFP-1035,0.33,0.69,0
RFP-1036,0.34,0.42,1
RFP-1037,0.64,0.99,1
RFP-1038,0.77,0.81,1
RFP-1039,0.74,0.71,1
RFP-1040,0.36,0.87,1
RFP-1041,0.71,0.74,1
RFP-1042,0.66,0.38,0
RFP-1043,0.57,0.95,1
RFP-1044,0.54,0.29,0
RFP-1045,0.69,0.62,1
RFP-1046,0.37,0.92,1
RFP-1047,0.54,0.78,0
RFP-1048,0.92,0.82,1
RFP-1049,0.93,0.69,1
RFP-1050,0.37,0.73,1
RFP-1051,0.46,0.77,1
RFP-1052,0.53,0.8,1
RFP-1053,0.7,0.27,1
RFP-1054,0.49,0.4,0
RFP-1055,0.74,0.84,1
RFP-1056,0.7,0.59,1
RFP-1057,0.32,0.72,1
RFP-1058,0.96,0.96,1
RFP-1059,0.95,0.54,0
RFP-1060,0.97,0.88,1
RFP-1061,0.52,0.34,0
RFP-1062,0.96,0.76,1
RFP-1063,0.99,0.31,1
RFP-1064,0.91,0.79,1
RFP-1065,0.51,0.85,0
RFP-1066,0.91,0.93,1
RFP-1067,0.75,0.76,1
RFP-1068,0.92,0.47,1
RFP-1069,0.33,0.57,0
RFP-1070,0.5,0.67,1
RFP-1071,0.67,0.82,1
RFP-1072,0.74,0.27,1
RFP-1073,0.75,0.78,0
RFP-1074,0.66,0.46,1
RFP-1075,0.35,0.22,0
RFP-1076,0.89,0.76,1
RFP-1077,0.48,0.64,0
RFP-1078,0.76,0.42,1
RFP-1079,0.47,0.48,0
RFP-1080,0.31,0.29,0
RFP-1081,0.37,0.59,1
RFP-1082,0.42,0.55,0
RFP-1083,0.33,0.5,0
RFP-1084,0.65,0.89,1
RFP-1085,0.75,0.22,0
RFP-1086,0.96,0.66,1
RFP-1087,0.68,0.95,1
RFP-1088,0.97,0.92,1
RFP-1089,0.52,0.88,1
RFP-1090,0.87,0.43,1
RFP-1091,0.91,0.79,1
RFP-1092,0.5,0.34,0
RFP-1093,0.59,0.5,0
RFP-1094,0.54,0.94,0
RFP-1095,0.83,0.28,0
RFP-1096,0.65,0.86,1
RFP-1097,0.31,0.92,1
RFP-1098,0.52,0.96,1
RFP-1099,0.61,0.43,1
RFP-1100,0.77,0.8,1
RFP-1101,0.65,0.25,0
RFP-1102,0.61,0.91,1
RFP-1103,0.83,0.69,1
RFP-1104,0.36,0.76,1
RFP-1105,0.99,0.5,1
RFP-1106,0.87,0.96,1
RFP-1107,0.69,0.54,0
RFP-1108,0.38,0.59,1
RFP-1109,0.38,0.29,0
RFP-1110,0.82,0.67,1
RFP-1111,0.91,0.38,0
RFP-1112,0.31,0.98,1
RFP-1113,0.69,0.98,1
RFP-1114,0.74,0.76,1
RFP-1115,0.93,0.24,1
RFP-1116,0.97,0.91,1
RFP-1117,0.43,0.57,1
RFP-1118,0.71,0.26,1
RFP-1119,0.87,0.75,1
RFP-1120,0.94,0.86,0
RFP-1121,0.91,0.24,1
RFP-1122,0.56,0.85,0
RFP-1123,0.89,0.87,1
RFP-1124,0.59,0.42,0
RFP-1125,0.96,0.88,1
RFP-1126,0.62,0.3,1
RFP-1127,0.77,0.69,1
RFP-1128,0.38,0.74,1
RFP-1129,0.9,0.64,1
RFP-1130,0.91,0.52,1
RFP-1131,0.45,0.31,1
RFP-1132,0.55,0.67,0
RFP-1133,0.54,0.61,0
RFP-1134,0.58,0.7,1
RFP-1135,0.99,0.59,1
RFP-1136,0.74,0.39,1
RFP-1137,0.54,0.92,1
RFP-1138,0.77,0.34,1
RFP-1139,0.36,0.3,0
RFP-1140,0.44,0.49,1
RFP-1141,0.86,0.7,1
RFP-1142,0.91,0.94,1
RFP-1143,0.82,0.35,1
RFP-1144,0.56,0.59,0
RFP-1145,0.82,0.23,1
RFP-1146,0.8,0.92,1
RFP-1147,0.61,0.63,1
RFP-1148,0.49,0.5,1
RFP-1149,0.92,0.67,1
RFP-1150,0.85,0.6,1
RFP-1151,0.82,0.55,1
RFP-1152,0.5,0.49,1
RFP-1153,0.99,0.68,1
RFP-1154,0.37,0.32,1
RFP-1155,0.5,0.34,0
RFP-1156,0.36,0.62,1
RFP-1157,0.58,0.98,0
RFP-1158,0.87,0.41,0
RFP-1159,0.69,0.66,1
RFP-1160,0.84,0.35,1
RFP-1161,0.47,0.29,0
RFP-1162,0.5,0.66,1
RFP-1163,0.34,0.47,1
RFP-1164,0.34,0.99,1
RFP-1165,0.78,0.81,1
RFP-1166,0.63,0.53,0
RFP-1167,0.98,0.3,0
RFP-1168,0.96,0.34,1
RFP-1169,0.89,0.31,0
RFP-1170,0.44,0.33,0
RFP-1171,0.67,0.49,0
RFP-1172,0.57,0.85,1
RFP-1173,0.51,0.8,1
RFP-1174,0.46,0.92,0
RFP-1175,0.74,0.29,0
RFP-1176,0.74,0.47,1
RFP-1177,0.67,0.92,0
RFP-1178,0.41,0.45,1
RFP-1179,0.7,0.81,0
RFP-1180,0.54,0.86,0
RFP-1181,0.4,0.38,0
RFP-1182,0.8,0.71,1
RFP-1183,0.54,0.35,0
RFP-1184,0.71,0.52,1
RFP-1185,0.71,0.6,1
RFP-1186,0.31,0.9,0
RFP-1187,0.95,0.77,1
RFP-1188,0.7,0.69,0
RFP-1189,0.95,0.56,1
RFP-1190,0.99,0.87,1
RFP-1191,0.58,0.24,1
RFP-1192,0.86,0.2,0
RFP-1193,0.94,0.48,1
RFP-1194,0.82,0.56,1
RFP-1195,0.42,0.6,0
RFP-1196,0.94,0.49,1
RFP-1197,0.76,0.34,0
RFP-1198,0.4,0.53,1
RFP-1199,0.82,0.37,0
RFP-1200,0.44,0.35,0
RFP-1201,0.35,0.82,1
RFP-1202,0.67,0.55,1
RFP-1203,0.43,0.89,0
RFP-1204,0.56,0.42,1
RFP-1205,0.41,0.77,1
RFP-1206,0.32,0.38,1
RFP-1207,0.37,0.84,1
RFP-1208,0.76,0.39,0
RFP-1209,0.9,0.86,1
RFP-1210,0.77,0.36,1
RFP-1211,0.36,0.37,1
RFP-1212,0.43,0.67,0
RFP-1213,0.54,0.41,1
RFP-1214,0.71,0.41,0
RFP-1215,0.61,0.44,0
RFP-1216,0.83,0.31,0
RFP-1217,0.86,0.54,1
RFP-1218,0.49,0.63,1
RFP-1219,0.88,0.99,1
RFP-1220,0.42,0.42,1
RFP-1221,0.69,0.72,0
RFP-1222,0.44,0.21,0
RFP-1223,0.77,0.34,0
RFP-1224,0.59,0.51,1
RFP-1225,0.82,0.27,0
RFP-1226,0.47,0.51,0
RFP-1227,0.51,0.65,0
RFP-1228,0.76,0.95,1
RFP-1229,0.48,0.68,1
RFP-1230,0.65,0.68,1
RFP-1231,0.35,0.78,0
RFP-1232,0.78,0.55,0
RFP-1233,0.79,0.42,1
RFP-1234,0.55,0.27,1
RFP-1235,0.68,0.9,1
RFP-1236,0.86,0.73,1
RFP-1237,0.64,0.38,0
RFP-1238,0.96,0.23,1
RFP-1239,0.7,0.93,1
RFP-1240,0.79,0.44,0
RFP-1241,0.89,0.46,0
RFP-1242,0.33,0.68,1
RFP-1243,0.79,0.47,0
RFP-1244,0.35,0.45,1
RFP-1245,0.74,0.91,1
RFP-1246,0.46,0.22,0
RFP-1247,0.86,1.0,1
RFP-1248,0.84,0.52,1
RFP-1249,0.99,0.81,1
RFP-1250,0.59,0.79,1
RFP-1251,0.5,0.44,1
RFP-1252,0.33,0.21,0
RFP-1253,0.78,0.37,0
