tender_id,client_id,competitor_present,margin_offered,outcome,reason
T-2023-01,CL-101,RivalCables Ltd,0.18,Won,Competitive Price
T-2023-02,CL-101,RivalCables Ltd,0.22,Lost,Price too high vs Aggressive Rival
T-2023-03,CL-102,PremiumWires Inc,0.20,Won,Better Value
T-2023-04,CL-103,Standard Electricals,0.15,Won,Good Entry Price
T-2023-05,CL-104,Desi Power Grid,0.12,Lost,Competitor undercut insanely
T-2023-06,CL-102,PremiumWires Inc,0.25,Lost,Greedy Margin
T-2023-07,CL-101,RivalCables Ltd,0.19,Won,Optimized Margin
T-2023-08,CL-106,Global Electric,0.20,Won,We were much cheaper
T-2023-09,CL-107,InfraTech Solutions,0.18,Lost,They bundled services
T-2023-10,CL-105,Cheap & Best Wires,0.20,Lost,Competitor was cheaper
T-2023-11,CL-101,RivalCables Ltd,0.21,Lost,Too high again
T-2023-12,CL-104,Desi Power Grid,0.10,Lost,Impossible price war
T-2023-13,CL-106,PremiumWires Inc,0.18,Won,Good win
T-2023-14,CL-101,RivalCables Ltd,0.17,Won,Aggressive margin worked
