product_id,material_id,quantity_required,unit
PROD-001,MAT-FE-01,10.0,kg
PROD-001,MAT-CARB-02,5.0,kg
PROD-002,MAT-CU-01,0.5,kg
PROD-002,MAT-PVC-03,0.2,kg
PROD-002,MAT-TAPE-05,0.1,kg
PROD-002,MAT-DRUM-09,0.002,unit
PROD-003,MAT-AL-01,0.8,kg
PROD-003,MAT-XLPE-04,0.3,kg
PROD-003,MAT-DRUM-09,0.002,unit
PROD-004,MAT-CU-01,0.2,kg
PROD-004,MAT-PVC-03,0.1,kg
PROD-005,MAT-CU-01,0.1,kg
PROD-005,MAT-RUBBER-08,0.2,kg
PROD-006,MAT-CU-01,0.05,kg
PROD-006,MAT-PVC-03,0.02,kg
PROD-007,MAT-CU-01,1.2,kg
PROD-007,MAT-LEAD-07,0.5,kg
PROD-007,MAT-TAPE-05,0.8,kg
PROD-007,MAT-DRUM-10,0.005,unit
PROD-008,MAT-CU-01,0.04,kg
PROD-008,MAT-XLPE-04,0.02,kg
